2023.10.02 14:22:42
Space name = '14_Atlantic'
--------
'Akatsuki', Destroyer, bot_untuvhraab, Enemies
'Amagi', Battleship, bot_xpwyateigm, Allies
'Baltimore', Cruiser, bot_vjoxvcfvzp, Allies
'Benson', Destroyer, bot_vyqwpxbmfk, Allies
'Bismarck', Battleship, bot_zhubgkkcbe, Enemies
'Charles Martel', Cruiser, bot_inqqfnrzbs, Enemies
'Colorado', Battleship, bot_zdzlniyfru, Allies
'Fletcher', Destroyer, bot_thigoijbap, Allies
'Hipper', Cruiser, bot_ltjakwxytx, Enemies
'Iowa', Battleship, bot_iziqdfmwfe, Allies
'Kagerō', Destroyer, bot_aezgaqgdjm, Allies
'Lightning', Destroyer, bot_biomcwauqm, Enemies
'Mogami', Cruiser, client_uvhcwvxem@wargaming.net, You
'Myōkō', Cruiser, bot_jrmyjvmrad, Enemies
'Nagato', Battleship, bot_wtnuvjpefh, Enemies
'New Orleans', Cruiser, bot_recsviohef, Allies
'Vanguard', Battleship, bot_vjkaiavawq, Enemies
'Z-23', Destroyer, bot_ntqskqdkvh, Enemies
--------
Total: 18

